subject,samples,accuracy,precision,recall,f1_score
2,990,0.7393939393939394,0.8241450846550225,0.7393939393939394,0.7287889194139194
3,1409,0.6834634492547906,0.7688527465277827,0.6834634492547906,0.6730345278138867
4,641,0.8330733229329174,0.991136636615907,0.8330733229329174,0.9004412761465335
5,1178,0.8115449915110357,0.8163303990264219,0.8115449915110357,0.8119712297593108
6,1488,0.6814516129032258,0.7833702827307236,0.6814516129032258,0.6666839530817005
7,1847,0.8965890633459664,0.917914839389141,0.8965890633459664,0.8987915759837163
8,630,0.8761904761904762,0.9531837979909252,0.8761904761904762,0.9038663571258146
9,562,0.7277580071174378,0.9329453219501078,0.7277580071174378,0.7861652020526532
10,860,0.9674418604651163,0.9689621565142682,0.9674418604651163,0.9679127906976744
11,1787,0.9250139899272524,0.9275801367075995,0.9250139899272524,0.925492977748183
13,2186,0.9304666056724611,0.936530110669684,0.9304666056724611,0.9276723572189399
14,68,0.8970588235294118,0.9170751633986929,0.8970588235294118,0.8975272449174687
15,933,0.8113612004287245,0.8205466290634721,0.8113612004287245,0.8145526981660148
16,661,0.9092284417549168,0.9790527173280578,0.9092284417549168,0.9353733899647823
17,644,0.8105590062111802,0.8487238681544182,0.8105590062111802,0.7899077350859455
